L;Transfer_cnt;English transcription;Russian Cyrillic;Transfer;Opened;Type
6;;Tyoply Stan;Тёплый Стан;;06.11.1987;column, triple-span
6;;Yasenevo;Ясенево;;17.01.1990;column, triple-span
6;1;Novoyasenevskaya;Новоясеневская;;17.01.1990;column, triple-span
7;;Planernaya;Планерная;;30.12.1975;column, triple-span
7;;Skhodnenskaya;Сходненская;;30.12.1975;single-vault, shallow
7;;Tushinskaya;Тушинская;;30.12.1975;column, triple-span
7;;Spartak;Спартак;;27.08.2014;column, triple-span
7;;Shchukinskaya;Щукинская;;30.12.1975;column, triple-span
7;1;Oktyabrskoye Polye;Октябрьское поле;<>;30.12.1972;column, triple-span
7;2;Polezhayevskaya;Полежаевская;<>;30.12.1972;column, triple-span
7;;Begovaya;Беговая;;30.12.1972;column, triple-span
7;;Ulitsa 1905 Goda;Улица 1905 года;;30.12.1972;column, triple-span
7;1;Barrikadnaya;Баррикадная;;30.12.1972;pylon, triple-vault
7;2;Pushkinskaya;Пушкинская;;17.12.1975;column, triple-vault
7;1;Kuznetsky Most;Кузнецкий мост;;17.12.1975;column, triple-vault
7;1;Kitay-gorod;Китай-город;[];03.01.1971;column, triple-vault
7;2;Taganskaya;Таганская;;31.12.1966;pylon, triple-vault
7;1;Proletarskaya;Пролетарская;;31.12.1966;column, triple-span
7;;Volgogradsky Prospekt;Волгоградский проспект;;31.12.1966;column, triple-span
7;;Tekstilshchiki;Текстильщики;;31.12.1966;column, triple-span
7;;Kuzminki;Кузьминки;;31.12.1966;column, triple-span
7;;Ryazansky Prospekt;Рязанский проспект;;31.12.1966;column, triple-span
7;;Vykhino;Выхино;;31.12.1966;surface, open
7;1;Lermontovsky Prospekt;Лермонтовский проспект;;09.11.2013;single-vault, shallow
7;;Zhulebino;Жулебино;;09.11.2013;column, double-span
7;;Kotelniki;Котельники;;21.09.2015;column, double-span
8;;Rasskazovka;Рассказовка;;30.08.2018;
8;;Novoperedelkino;Новопеределкино;;30.08.2018;
8;;Borovskoye Shosse;Боровское Шоссе;;30.08.2018;
8;;Solntsevo;Солнцево;;30.08.2018;
8;;Govorovo;Говорово;;30.08.2018;
8;;Ozyornaya;Озёрная;;30.08.2018;
8;;Michurinsky Prospekt;Мичуринский Проспект;;30.08.2018;
8;;Ramenki;Раменки;;16.03.2017;column, double-span
8;;Lomonosovsky Prospekt;Ломоносовский проспект;;16.03.2017;column, double-span
8;;Minskaya;Минская;;16.03.2017;column, double-span
8;1;Park Pobedy;Парк Победы;[];06.05.2003;pylon, triple-vault
8;2;Delovoy Tsentr;Деловой центр;;31.01.2014;
8;2;Tretyakovskaya;Третьяковская;[] ;25.01.1986;pylon, triple-vault
8;2;Marksistskaya;Марксистская;;30.12.1979;column, triple-vault
8;1;Ploshchad Ilyicha;Площадь Ильича;;30.12.1979;pylon, triple-vault
8;1;Aviamotornaya;Авиамоторная;<>;30.12.1979;column, triple-vault
8;1;Shosse Entuziastov;Шоссе Энтузиастов;<>;30.12.1979;pylon, triple-vault
8;;Perovo;Перово;;30.12.1979;single-vault, shallow
8;;Novogireyevo;Новогиреево;;30.12.1979;column, triple-span
8;;Novokosino;Новокосино;;30.08.2012;single-vault, shallow
9;;Altufyevo;Алтуфьево;;15.07.1994;single-vault, shallow
9;;Bibirevo;Бибирево;;31.12.1992;column, triple-span
9;;Otradnoye;Отрадное;;01.03.1991;single-vault, shallow
9;1;Vladykino;Владыкино;{};01.03.1991;column, triple-span
9;1;Petrovsko-Razumovskaya;Петровско-Разумовская;[];01.03.1991;column, triple-vault
9;1;Timiryazevskaya;Тимирязевская;<>;01.03.1991;single-vault, deep
9;;Dmitrovskaya;Дмитровская;;01.03.1991;pylon, triple-vault
9;1;Savyolovskaya;Савёловская;;31.12.1988;pylon, triple-vault
9;1;Mendeleyevskaya;Менделеевская;;31.12.1988;column, triple-vault
9;1;Tsvetnoy Bulvar;Цветной бульвар;;31.12.1988;pylon, triple-vault
9;2;Chekhovskaya;Чеховская;;31.12.1987;pylon, triple-vault
9;3;Borovitskaya;Боровицкая;  ();23.01.1986;pylon, triple-vault
9;;Polyanka;Полянка;;23.01.1986;column, triple-vault
9;1;Serpukhovskaya;Серпуховская;;08.11.1983;pylon, triple-vault
9;;Tulskaya;Тульская;;08.11.1983;single-vault, shallow
9;;Nagatinskaya;Нагатинская;;08.11.1983;column, triple-span
9;;Nagornaya;Нагорная;;08.11.1983;column, triple-span
9;;Nakhimovsky Prospekt;Нахимовский проспект;;08.11.1983;single-vault, shallow
9;;Sevastopolskaya;Севастопольская;;08.11.1983;column, triple-span
9;;Chertanovskaya;Чертановская;;08.11.1983;column, triple-span
9;;Yuzhnaya;Южная;;08.11.1983;single-vault, shallow
9;;Prazhskaya;Пражская;;06.11.1985;column, triple-span
9;;Ulitsa Akademika Yangelya;Улица академика Янгеля;;31.08.2000;single-vault, shallow
9;;Annino;Аннино;;12.12.2001;single-vault, shallow
9;1;Bulvar Dmitriya Donskogo;Бульвар Дмитрия Донского;;26.12.2002;column, triple-span
10;;Seligerskaya;Селигерская;;22.03.2018;column, triple-span
10;;Verkhnie Likhobory;Верхние Лихоборы;;22.03.2018;pylon, triple-vault
10;1;Okruzhnaya;Окружная;<>;22.03.2018;pylon, triple-vault
10;1;Petrovsko-Razumovskaya;Петровско-Разумовская;[];01.03.1991;column, triple-vault
10;1;Fonvizinskaya;Фонвизинская;<>;16.09.2016;pylon, triple-vault
10;;Butyrskaya;Бутырская;;16.09.2016;pylon, triple-vault
10;;Maryina Roshcha (Lyublinsko–Dmitrovskaya line);Марьина Роща;;19.06.2010;pylon, triple-vault
10;;Dostoyevskaya;Достоевская;;19.06.2010;column, triple-vault
10;1;Trubnaya;Трубная;;30.08.2007;column, triple-vault
10;2;Sretensky Bulvar;Сретенский бульвар;;29.12.2007;pylon, triple-vault
10;2;Chkalovskaya;Чкаловская;;28.12.1995;pylon, triple-vault
10;1;Rimskaya;Римская;;28.12.1995;column, triple-vault
10;1;Krestyanskaya Zastava;Крестьянская застава;;28.12.1995;column, triple-vault
10;1;Dubrovka;Дубровка;<>;11.12.1999;column, triple-vault
10;;Kozhukhovskaya;Кожуховская;;28.12.1995;single-vault, shallow
10;;Pechatniki (Lyublinsko–Dmitrovskaya line);Печатники;;28.12.1995;column, triple-span
10;1;Volzhskaya;Волжская;;28.12.1995;single-span
10;;Lyublino;Люблино;;25.12.1996;single-vault, shallow
10;;Bratislavskaya;Братиславская;;25.12.1996;column, double-span
10;;Maryino;Марьино;;25.12.1996;single-span
10;;Borisovo;Борисово;;02.12.2011;single-vault, shallow
10;;Shipilovskaya;Шипиловская;;02.12.2011;single-vault, shallow
10;1;Zyablikovo;Зябликово;;02.12.2011;single-vault, shallow
11;2;Delovoy Tsentr;Деловой центр;;26.02.2018;
11;1;Shelepikha;Шелепиха;{};26.02.2018;
11;;Mnyovniki;Мнёвники;;01.04.2021;
11;;Narodnoye Opolcheniye;Народное Ополчение;;01.04.2021;
11;2;Khoroshyovskaya;Хорошёвская; <>;26.02.2018;
11;;[[CSKA[disambiguation needed]]];ЦСКА;;26.02.2018;
11;1;Petrovsky Park;Петровский парк;;26.02.2018;
11;1;Savyolovskaya;Савёловская;;30.12.2018;
12;1;Bittsevsky Park;Битцевский парк;;27.02.2014;single-vault, shallow
12;;Lesoparkovaya;Лесопарковая;;27.02.2014;single-vault, shallow
12;1;Ulitsa Starokachalovskaya;Улица Старокачаловская;;27.12.2003;single-span, two halls
12;;Ulitsa Skobelevskaya;Улица Скобелевская;;27.12.2003;elevated, open
12;;Bulvar Admirala Ushakova;Бульвар Адмирала Ушакова;;27.12.2003;elevated, open
12;;Ulitsa Gorchakova;Улица Горчакова;;27.12.2003;elevated, open
12;;Buninskaya Alleya;Бунинская аллея;;27.12.2003;elevated, open
13;1;Timiryazevskaya;Тимирязевская;<>;20.11.2004;elevated, open
13;1;Ulitsa Milashenkova;Улица Милашенкова;<>;20.11.2004;elevated, open
13;;Teletsentr;Телецентр;;20.11.2004;elevated, open
13;;Ulitsa Akademika Korolyova;Улица Академика Королёва;;20.11.2004;elevated, open
13;1;Vystavochny Tsentr;Выставочный центр;<>;20.11.2004;elevated, open
13;;Ulitsa Sergeya Eyzenshteyna;Улица Сергея Эйзенштейна;;20.11.2004;elevated, open
14;1;Okruzhnaya;Окружная;<>;10.09.2016;surface
14;1;Vladykino;Владыкино;{};10.09.2016;surface
14;1;Botanichesky Sad;Ботанический сад;<>;10.09.2016;surface
14;;Rostokino;Ростокино;;10.09.2016;surface
14;;Belokamennaya;Белокаменная;;10.09.2016;surface
14;1;Bulvar Rokossovskogo;Бульвар Рокоссовского;<>;10.09.2016;surface
14;1;Lokomotiv;Локомотив;{};10.09.2016;surface
14;1;Izmaylovo;Измайлово;<>;10.09.2016;surface
14;;Sokolinaya Gora;Соколиная гора;;11.10.2016;surface
14;1;Shosse Entuziastov;Шоссе Энтузиастов;<>;10.09.2016;surface
14;;Andronovka;Андроновка;;10.09.2016;surface
14;1;Nizhegorodskaya;Нижегородская;{};10.09.2016;elevated
14;;Novokhokhlovskaya;Новохохловская;;10.09.2016;surface
14;1;Ugreshskaya;Угрешская;<>;10.09.2016;surface
14;2;Dubrovka;Дубровка;<><>;11.10.2016;surface
14;2;Avtozavodskaya;Автозаводская;<><>;10.09.2016;surface
14;1;ZIL (Moscow Central Circle);ЗИЛ;<>;10.09.2016;surface
14;1;Verkhniye Kotly;Верхние Котлы;<>;10.09.2016;surface
14;;Krymskaya;Крымская;;10.09.2016;surface
14;1;Ploshchad Gagarina;Площадь Гагарина;{};10.09.2016;underground
14;1;Luzhniki;Лужники;<>;10.09.2016;surface
